SİPARİŞ NUMARASI,TEDARİKÇİ,TEDARİKÇİ KODU,AÇIKLAMA,MİKTAR,RENK,SİPARİŞ TARİHİ,TESLİM ALMA TARİHİ,DURUMU,Montaj Plan,Tamamlayıcı Plan
144364,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144364,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144364,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144364,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144362,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144362,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144362,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144362,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144365,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144365,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144365,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144365,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_600x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_600x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144305,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144305,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144306,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144306,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144307,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144307,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144308,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144308,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144309,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144309,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144310,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144310,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144311,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144311,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144313,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144313,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144314,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144314,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144315,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144315,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144316,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144316,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144317,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144317,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144318,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144318,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144319,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144319,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144320,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144320,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144321,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144321,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144322,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144322,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144323,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144323,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144324,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144324,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144325,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144325,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144326,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144326,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144327,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144327,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144328,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_R,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_R,1.0,,05.11.2025,,,0,
144328,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_446x1055_CU03M_L,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_446x1055_CU03M_L,1.0,,05.11.2025,,,0,
144331,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144331,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144331,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144331,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144333,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144333,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144333,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144333,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144334,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144334,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144334,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144334,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144335,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144335,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144335,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144335,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144336,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144336,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144336,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144336,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144337,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144337,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144337,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144337,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144338,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144338,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144338,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144338,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144339,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144339,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144339,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144339,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144340,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144340,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144340,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144340,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144341,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144341,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
144341,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_L_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_L_ALT,1.0,,05.11.2025,,,0,
144341,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_L_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_L_UST,1.0,,05.11.2025,,,0,
144342,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x721_CA02M_R_ALT,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x721_CA02M_R_ALT,1.0,,05.11.2025,,,0,
144342,SOLE_ALUMINYUM,ZD3F_03_FRC_SL8811_9005M_MS_450x1365_CU03M_R_UST,ZD3F_20*20 DAR PROFIL_KULPSUZ_03_FRC_SL8811_9005M_MS MAT SIYAH_450x1365_CU03M_R_UST,1.0,,05.11.2025,,,0,
